GEOID,label,ALAND,bldg_area,street_len,nodes_num,poi_num,manufct_poi_num,transport_poi_num,trucking_poi_num,restaurant_poi_num,grocery_poi_num,tree_cover,builtup_cover,barren_cover,ttl_pop,pop_pct_white,pop_pct_black,mhh_income,geoid_o,visitor_flows,LST_basemodel,VF_basemodel,VF_DRDmodel,VF_baseErr,VF_DRDErr
25025030100,0,77344,60310.87756,453.6659799,25,23,0,0,0,3,1,9.557721139,90.36731634,0.074962519,2115,87.0922,1.2293,95469,25025030100,271,540.5338833,540.5338833,194.17944,269.5338833,-76.82055664
25025091300,1,262560,128707.7219,5782.967176,35,40,0,0,0,9,3,1.181928642,96.00132553,2.81674583,2626,11.31,27.2658,44570,25025091300,795,686.0610367,686.0610367,757.07166,-108.9389633,-37.92834473
25025110501,2,647837,209481.3907,10051.98423,62,15,0,0,0,3,0,35.05500402,64.33682139,0,3302,67.7468,8.1466,125195,25025110501,406,811.183119,811.183119,600.5271,405.183119,194.5270996
25025030500,3,191230,107665.1771,9100.525288,23,62,1,0,0,11,1,0.047579398,39.2411086,1.504698466,2715,88.2136,1.2155,171333,25025030500,238,-429.9079288,-429.9079288,467.0962,-667.9079288,229.0961914
25025010500,4,193266,134469.4034,12091.13903,24,71,1,2,1,15,1,0.420655643,96.28662605,0,3876,53.8184,7.8947,57202,25025010500,791,828.3998708,828.3998708,796.14014,37.39987081,5.140136719
25025140201,5,1322336,268076.6513,12771.27822,67,39,1,1,0,3,1,36.3129875,55.89327721,0.526185465,2311,33.1891,33.016,97522,25025140201,404,787.8763946,787.8763946,409.5111,383.8763946,5.511108398
25025082100,6,370577,189497.5084,4531.630678,37,30,0,0,0,9,2,11.13024421,88.86975579,0,5224,3.1394,50.8614,28351,25025082100,1723,950.2679272,950.2679272,1679.2571,-772.7320728,-43.74291992
25025050500,7,272242,91268.94257,7445.403042,17,9,0,0,0,0,1,14.09245846,70.53685556,0,2174,42.8703,2.0699,93929,25025050500,493,731.4026053,731.4026053,409.56982,238.4026053,-83.43017578
25025101101,8,587566,172266.1224,11922.41348,48,30,1,0,0,2,0,39.79657335,60.20342665,0,3522,3.0664,69.1652,52097,25025101101,901,872.5336058,872.5336058,1320.3667,-28.46639418,419.3666992
25025180500,9,823354,272638.2891,11397.71825,83,35,0,1,0,7,0,1.389759381,20.76645684,7.643676595,4089,75.642,2.3233,108147,25025180500,1238,-163.2247327,-163.2247327,1163.4661,-1401.224733,-74.53393555
25025120600,10,257295,118385.7412,1191.76587,33,31,0,0,0,9,0,31.66910853,68.33089147,0,2566,72.1746,4.5986,169766,25025120600,89,396.5748335,396.5748335,219.2959,307.5748335,130.2958984
25025091700,11,288865,105399.4506,3664.574419,32,19,0,0,0,5,1,21.99678586,72.88067497,0,3203,6.4939,40.9304,55357,25025091700,1077,935.2345258,935.2345258,1010.20374,-141.7654742,-66.79626465
25025060501,12,411742,224840.2691,7485.405224,42,110,0,0,1,21,2,3.575944921,91.45707461,0,4733,88.0414,0.655,138661,25025060501,388,291.7190499,291.7190499,567.77124,-96.2809501,179.7712402
25025050101,13,299770,158075.4237,4373.177046,23,16,1,0,0,2,2,0.184875954,60.11450382,0,4917,25.2593,3.5794,70066,25025050101,1093,989.4048421,989.4048421,1253.1283,-103.5951579,160.1282959
25025170502,14,924365,239909.8655,16315.50452,76,29,1,1,0,7,1,5.213236444,29.43501941,5.186217488,3407,65.9231,4.0211,87500,25025170502,1191,169.4215889,169.4215889,892.0231,-1021.578411,-298.9769287
25025010204,15,253410,158379.7426,8631.741943,32,65,1,0,0,18,1,0.320182962,99.67981704,0,3443,49.0851,4.8795,0,25025010204,458,1192.619631,1192.619631,644.6066,734.6196308,186.6066284
25025010404,16,136909,108020.7515,3600.145122,11,48,1,0,0,25,2,0.868828142,99.13117186,0,5747,57.2647,6.8558,72656,25025010404,403,644.4616123,644.4616123,426.36877,241.4616123,23.36877441
25025110607,17,1124028,361537.1772,16455.84925,88,81,0,1,0,13,4,38.65303171,57.13769239,0,5276,77.2176,5.0986,139591,25025110607,444,928.5115424,928.5115424,659.8906,484.5115424,215.890625
25025120104,18,405800,126820.5506,9490.926236,38,21,1,0,0,1,1,40.05149478,59.94850522,0,2373,66.161,6.4475,116513,25025120104,225,847.388764,847.388764,303.99573,622.388764,78.99572754
25025120201,19,713168,234525.8841,8264.594497,49,62,1,0,0,10,2,32.98533534,65.28415323,0,4360,53.9679,11.1009,116218,25025120201,536,945.2934229,945.2934229,363.00476,409.2934229,-172.9952393
25025980300,20,2081297,74391.36304,16137.48832,24,12,0,0,0,1,0,65.52904778,10.64695772,0,113,37.1681,48.6726,0,25025980300,286,775.2378622,775.2378622,376.06726,489.2378622,90.06726074
25025000704,21,239779,156866.4374,4825.793303,29,87,1,1,0,31,6,4.488265183,95.51173482,0,5312,50.2447,5.4029,90208,25025000704,595,719.8069222,719.8069222,611.24255,124.8069222,16.24255371
25025000703,22,178001,115470.6443,5768.680252,35,133,3,2,0,52,3,0,100,0,2442,51.1876,4.0541,141500,25025000703,288,225.2759977,225.2759977,179.61426,-62.7240023,-108.3857422
25025010802,23,156827,105155.9786,5656.911818,16,16,0,0,0,2,0,12.12569316,87.48613678,0,3058,80.2158,1.4388,250000,25025010802,192,-281.0512468,-281.0512468,155.66992,-473.0512468,-36.33007813
25025010405,24,364894,250376.8887,12045.58893,20,52,0,1,0,20,1,14.40031771,85.59968229,0,6853,55.348,9.9664,48051,25025010405,612,922.1644821,922.1644821,433.96436,310.1644821,-178.0356445
25025081001,25,559703,388155.8513,14428.12192,58,139,0,2,0,41,1,10.5871379,89.4128621,0,5695,34.3284,11.2204,41463,25025081001,1039,1118.136678,1118.136678,1239.2603,79.13667817,200.2602539
25025020101,26,219375,189821.2551,3505.39078,50,119,2,0,0,18,3,4.766921254,93.7318936,0,4235,86.0213,1.039,250000,25025020101,225,51.76706022,51.76706022,365.11377,-173.2329398,140.1137695
25025020301,27,262787,164271.3185,11547.02082,43,150,0,0,0,10,3,7.536805098,90.68336629,0,2166,59.4645,2.7701,164750,25025020301,581,655.1632919,655.1632919,546.21063,74.16329187,-34.78936768
25025020302,28,76786,63763.80079,1150.699311,15,29,0,0,0,10,2,0.341038272,99.65896173,0,1293,77.8809,3.2483,223125,25025020302,73,-465.1435089,-465.1435089,51.50769,-538.1435089,-21.49230957
25025040100,29,264111,128576.2699,10577.44916,45,57,1,3,1,11,0,2.264854783,87.87636557,0,2360,86.9068,0.7203,222625,25025040100,322,-136.2097119,-136.2097119,331.3069,-458.2097119,9.306884766
25025160300,30,572063,137999.2713,15858.88151,31,36,0,0,0,3,2,20.86494435,41.90033756,0,2753,55.7937,7.955,110938,25025160300,300,461.2006561,461.2006561,526.6041,161.2006561,226.604126
25025050901,31,615897,208325.4552,19696.23033,74,80,1,3,0,22,4,0.828149863,66.78359612,0,4242,25.719,1.8152,55943,25025050901,1098,1314.432004,1314.432004,1305.4368,216.432004,207.4367676
25025051000,32,1043220,300740.6616,15904.45716,50,56,1,2,0,7,2,9.741279741,62.2961423,0,4317,44.151,2.965,83922,25025051000,1107,955.2019995,955.2019995,1196.9565,-151.7980005,89.95654297
25025180301,33,721123,263106.8288,7947.259523,67,28,0,0,0,4,1,10.00902238,56.62271894,0,3169,86.0208,0.7573,120450,25025180301,882,381.3919193,381.3919193,1159.0079,-500.6080807,277.0079346
25025170601,34,1287845,395645.22,21287.93147,130,99,0,0,0,8,4,12.28763167,75.16352362,0.957781176,6247,40.9477,2.8494,94583,25025170601,2771,1656.504096,1656.504096,2438.1199,-1114.495904,-332.880127
25025981502,35,1252194,208862.6296,14290.38835,18,33,0,0,0,5,2,8.145875937,57.22335833,5.821404226,7,0,0,0,25025981502,124,631.2306354,631.2306354,137.15979,507.2306354,13.15979004
25025160601,36,673912,205266.7822,15670.14845,46,37,0,0,0,5,0,18.4865102,80.90370695,0,4331,27.8227,7.504,74907,25025160601,1317,1281.073883,1281.073883,1192.592,-35.92611731,-124.407959
25025180101,37,1137875,320090.2193,13102.9091,74,62,3,1,0,7,3,13.50634212,36.29656897,0,5804,77.55,2.2743,79238,25025180101,1386,983.3026256,983.3026256,1214.6896,-402.6973744,-171.3104248
25025180400,38,582575,139202.0628,13261.79178,53,26,0,0,0,1,0,2.554714832,48.20600439,0,1928,80.6017,3.7344,129053,25025180400,474,137.0339327,137.0339327,634.5016,-336.9660673,160.5015869
25025060301,39,272519,170452.3465,2317.041196,23,72,0,0,0,13,5,0,100,0,3609,93.3222,0.8867,156563,25025060301,222,-3.401253233,-3.401253233,229.43701,-225.4012532,7.437011719
25025080100,40,1026664,508119.4109,24503.76806,92,121,1,2,0,19,10,4.901462533,92.01818284,0,2900,19.7241,34.8966,51576,25025080100,656,685.4427417,685.4427417,1141.4768,29.44274165,485.4768066
25025061101,41,165282,47787.68549,541.5713927,12,3,0,0,0,0,1,52.04739502,47.95260498,0,2710,19.0406,19.1144,14028,25025061101,566,1611.730383,1611.730383,630.2886,1045.730383,64.28857422
25025100700,42,1211115,327845.8125,8143.136794,94,106,1,0,0,13,2,9.760207388,62.76517606,0,4332,86.0803,3.2318,147394,25025100700,770,649.1996443,649.1996443,811.3627,-120.8003557,41.3626709
