GEOID,label,ALAND,bldg_area,street_len,nodes_num,poi_num,manufct_poi_num,transport_poi_num,trucking_poi_num,restaurant_poi_num,grocery_poi_num,tree_cover,builtup_cover,barren_cover,ttl_pop,pop_pct_white,pop_pct_black,mhh_income,geoid_o,visitor_flows
36061001600,143,207381,137265.0662,5854.421562,27,430,13,3,0,152,9,7.685677345,92.31432265,0,7698,17.49805144,2.974798649,51489,36061001600,872
36061001800,144,222964,169867.5248,8899.238925,47,556,18,1,1,170,17,12.36014917,87.63985083,0,7934,32.15276027,4.764305521,37027,36061001800,1115
36061002000,145,126279,29700.58867,6196.199661,8,13,0,0,0,0,0,9.246344207,39.2575928,0,4648,1.656626506,18.65318417,25625,36061002000,1148
36061002201,146,161668,81293.45479,876.8808324,14,106,0,1,0,31,4,19.17631918,80.82368082,0,6969,23.37494619,11.46505955,29453,36061002201,1245
36061002202,147,56108,37772.90288,1510.480299,6,49,1,0,0,17,1,12.24814422,87.75185578,0,2488,52.57234727,8.400321543,81875,36061002202,186
36061002400,148,182337,48148.23783,3663.875517,1,9,0,1,0,0,0,3.218024579,23.64588075,0,4518,1.792828685,21.58034529,19948,36061002400,1455
36061002601,149,106047,66692.23915,1868.536249,7,60,0,0,0,6,4,19.13580247,80.86419753,0,3609,31.0612358,11.11111111,60843,36061002601,546
36061002602,150,103690,77134.8267,1404.742316,5,103,3,1,1,25,6,11.66857798,88.33142202,0,4816,49.95847176,8.118770764,78125,36061002602,828
36061002700,151,59282,23083.9269,2640.481915,11,59,0,0,0,15,3,21.23493976,78.76506024,0,1370,16.93430657,1.605839416,133104,36061002700,812
36061002800,152,183626,123416.798,5145.178677,11,86,1,0,0,22,4,1.035933959,98.96406604,0,6819,31.73485848,10.72004693,0,36061002800,1137
36061003001,153,124150,98700.11554,2069.914706,14,364,8,1,0,143,5,2.7311931,97.2688069,0,4663,55.22196011,3.538494531,64271,36061003001,491
36061003100,154,204969,125738.5597,5714.638905,20,319,9,3,1,40,2,21.44826585,78.55173415,0,2989,42.4891268,11.37504182,242986,36061003100,2403
36061003300,155,341677,272693.2866,7046.973897,57,638,11,2,4,104,11,2.217391304,97.7826087,0,6458,74.82192629,1.455558997,250000,36061003300,1037
36061003601,156,99812,60276.54837,2431.578829,14,129,3,0,0,42,4,30.87447948,69.12552052,0,3513,29.3196698,11.92712781,45391,36061003601,441
36061003800,157,202370,168857.448,2557.852671,20,675,9,1,0,307,18,0,100,0,9070,65.14884234,3.506063947,61880,36061003800,784
36061003900,158,331072,228474.6039,4955.074845,40,254,4,7,1,59,3,1.377718201,37.47765862,0.94950849,7036,74.13303013,3.027288232,250000,36061003900,542
36061004200,159,85567,75941.17138,2033.420325,12,192,1,0,0,75,6,0,100,0,5216,50.63266871,7.036042945,250000,36061004200,440
