GEOID,label,ALAND,bldg_area,street_len,nodes_num,poi_num,manufct_poi_num,transport_poi_num,trucking_poi_num,restaurant_poi_num,grocery_poi_num,tree_cover,builtup_cover,barren_cover,ttl_pop,pop_pct_white,pop_pct_black,mmh_income,geoid_o,visitor_flows
4013422304,343,2717004,674383.2613,26131.50219,57,84,3,2,0,2,3,9.369733739,75.4020415,12.80153113,2935,50.0511073,10.3236797,72917,4013422304,2418
4013422305,344,2314800,771225.5678,27583.15178,179,33,0,0,0,1,1,9.229680681,84.47175671,0.284332866,5935,65.8803707,3.9258635,98438,4013422305,4981
4013422404,345,2515087,704515.6574,13145.95309,122,22,0,0,0,0,0,12.92263313,83.7638712,1.656747837,4737,69.3899092,2.9765674,118793,4013422404,5051
4013422503,346,2569002,603443.888,23771.0154,121,25,1,0,0,0,0,0.201953487,86.62280423,9.018048798,6792,50.721437,3.4746761,75162,4013422503,5873
4013422504,347,2604380,605453.6689,26428.01043,96,153,1,0,0,18,2,6.083397161,74.99591929,13.78777796,4927,64.9685407,3.8765983,106492,4013422504,2910
4013422506,348,2499267,686033.5623,19476.39688,134,289,2,0,0,43,2,14.28132914,77.86688154,1.956872074,5094,69.7094621,2.7679623,98750,4013422506,4915
4013422507,349,2377261,682163.0681,23797.91434,142,254,0,0,0,23,1,10.21721964,76.81384424,0.682575585,4406,75.1248298,1.475261,119524,4013422507,3711
4013422508,350,2525052,662065.9726,18379.20508,100,96,1,0,0,8,2,24.15440177,68.7740282,3.300842685,3680,69.9184783,2.3369565,89669,4013422508,4642
4013422509,351,2585661,765447.0964,11773.41339,144,68,1,0,0,7,1,9.144027926,71.29938787,6.897860068,5399,66.0307464,3.0746435,85395,4013422509,5252
4013422510,352,2585395,570361.3326,11765.43726,86,64,0,0,0,0,0,25.07029112,66.65111647,0.883839976,3474,71.9343696,1.7846862,128173,4013422510,3603
4013422511,353,2588094,724373.0607,12344.81009,96,80,0,0,0,13,2,28.113879,59.33595821,1.60899523,3181,69.192078,2.3263125,116111,4013422511,2933
