GEOID,label,ALAND,bldg_area,street_len,nodes_num,poi_num,manufct_poi_num,transport_poi_num,trucking_poi_num,restaurant_poi_num,grocery_poi_num,tree_cover,builtup_cover,barren_cover,ttl_pop,pop_pct_white,pop_pct_black,mhh_income,geoid_o,visitor_flows
6075030302,100,597637,280255.033,5170.618001,47,22,0,0,0,0,0,12.13938579,87.86061421,0,3670,40.0817,0.5722,209141,6075030302,570
6075030400,101,972368,439207.1705,15254.68778,101,77,1,1,0,8,1,17.53960917,81.72399503,0,5269,44.4297,0.892,143958,6075030400,941
6075030500,102,1087784,262500.128,14701.94915,41,18,0,0,0,0,0,49.21203438,45.91966057,1.405113511,3220,47.6087,8.0124,152045,6075030500,635
6075030600,103,521626,215282.2827,7179.805287,73,60,1,0,0,5,2,15.95934379,84.04065621,0,2343,51.5152,1.067,228558,6075030600,322
6075030700,104,1426986,556378.8241,5464.908537,92,25,0,0,0,0,0,35.09564693,62.34587825,0,6859,52.2234,2.0994,183024,6075030700,1440
6075030800,105,1242912,576215.0224,19482.4322,122,274,3,0,0,33,2,18.35972513,81.52574445,0,5898,51.7464,1.4751,172981,6075030800,1096
6075980501,106,1471536,31999.19022,7512.101167,11,10,0,0,0,0,0,60.21206291,14.02041158,0,125,0,0,19000,6075980501,335
6075980600,107,2069958,400893.8805,3380.086376,25,16,0,0,0,5,0,0.374831065,19.34860036,15.21724522,1340,19.8507,24.4776,140179,6075980600,317
6075020402,108,590505,235764.9056,9634.427733,41,14,0,0,0,0,0,27.5308318,68.37050643,0,4547,58.962,2.859,197765,6075020402,410
6075980900,109,3602295,1510911.688,56014.98622,179,418,11,9,6,51,28,0.044290903,84.43134507,2.988427995,1248,33.734,18.0288,211750,6075980900,378
6075011901,110,62294,50926.99275,1916.64372,4,32,0,0,0,10,2,0,100,0,2275,51.5165,3.4725,136563,6075011901,125
6075012901,111,180876,130057.2436,2443.627103,14,65,0,0,0,12,2,0,94.2182689,0,2853,71.4686,1.1567,197458,6075012901,314
6075015802,112,170743,114111.8634,4665.559035,16,49,0,0,0,12,3,1.523394995,98.47660501,0,3116,60.8472,7.7343,196713,6075015802,190
6075031301,113,451592,221141.5336,856.6183985,30,18,0,1,0,0,0,1.089563489,98.91043651,0,3786,20.206,11.384,117917,6075031301,1328
6075031302,114,685810,268132.6307,12572.33954,75,58,0,0,0,11,1,6.782348677,90.50380573,0,5673,12.8151,10.2944,87230,6075031302,1399
6075032601,115,417682,244175.3009,5702.064579,39,185,2,0,0,53,5,8.99925871,91.00074129,0,4412,33.8395,1.7452,130795,6075032601,971
6075032902,116,504600,244968.4161,3338.994627,30,73,2,0,0,24,3,4.518664047,95.48133595,0,3850,26.0779,0.7013,110823,6075032902,832
6075047802,117,339447,197686.5467,3854.588651,24,65,1,0,0,21,1,1.104921925,97.07789243,0,3786,35.103,1.7169,119107,6075047802,692
6075012301,118,92144,87101.17891,2975.56099,8,177,3,0,0,57,1,0,100,0,3088,28.5298,13.7306,56750,6075012301,330
6075030900,119,1881363,737923.5007,20761.63768,240,217,2,0,0,20,1,13.20913224,86.79086776,0,6707,42.2991,2.6241,232931,6075030900,1232
6075031100,120,1071960,475192.8788,15527.32233,91,104,0,0,0,14,3,12.18121291,86.34245187,0,6305,42.0619,2.6963,174519,6075031100,903
6075031000,121,818834,357015.0769,5562.690549,94,78,2,0,0,23,3,2.859848485,97.14015152,0,4192,41.3645,3.1727,168919,6075031000,931
6075032700,122,844707,448516.3584,6444.205929,71,80,0,0,0,5,1,6.870145097,89.75890371,0,6472,32.8646,1.2052,157869,6075032700,1713
6075033100,123,892075,403292.4699,16012.36652,101,58,0,0,0,10,1,2.396582265,94.9463374,0,4025,32.2981,0.8696,148750,6075033100,1655
6075033201,124,933928,347223.3806,9689.97655,47,283,3,0,0,66,6,16.90971762,76.09041495,0,1729,32.0416,12.4349,116357,6075033201,366
6075035201,125,939755,286429.3122,13210.74812,42,45,1,1,0,7,1,0.503107428,41.16799842,10.09174312,5288,36.4221,1.7776,112887,6075035201,1561
6075035300,126,1122296,482461.6775,7263.81956,62,73,1,1,0,8,2,1.542707327,93.53111632,0.703739478,7360,25.4484,1.1957,134698,6075035300,1828
6075035400,127,1030801,365568.9682,15577.10913,57,43,0,0,0,13,2,0,50.32904984,4.448987539,6696,32.5866,1.4636,121691,6075035400,1459
6075040100,128,419128,251916.741,5057.182486,29,261,6,0,0,68,4,14.76257293,84.8755631,0,4417,51.3697,1.6074,138938,6075040100,450
6075040200,129,531470,299976.1248,5516.406465,35,220,3,1,0,61,7,19.4446065,80.5553935,0,5539,46.994,2.0581,234611,6075040200,542
6075042700,130,409396,257520.0093,4409.430432,20,126,1,0,1,33,7,0.779535306,98.87989102,0,5496,42.2853,1.8377,108528,6075042700,1013
6075042800,131,566490,246367.0368,11731.75405,49,10,0,0,0,0,0,12.91845944,47.24525134,0.318326512,2433,66.009,0.4521,250000,6075042800,253
6075047600,132,531173,284073.8428,7630.903299,40,90,1,0,0,25,2,3.670259248,96.32974075,0,5302,39.3436,1.3014,170086,6075047600,655
6075023400,133,858134,399713.2533,4103.472853,53,79,3,3,2,7,5,0.866551127,92.19742923,0.920710572,4110,5.2068,24.7932,65511,6075023400,604
6075025100,134,552278,217109.3939,17150.41627,85,61,2,0,0,10,4,11.55141446,86.96677144,0,3364,54.0428,3.5375,0,6075025100,307
