id,lon_id,lat_id,poi_num,bldg_area,nodes_num,LST,longitude,latitude,tree,shrubland,grassland,builtup,barren,water,cropland,slope,aspect,elevation,aspect_class
7854,51,55,0,61723.60744,1,65.76715427,-12476970,3988710,0,20.91077562,1.72248796,2.33901065,43.05250662,0,3.38367847,0.54879755,229.2918091,456.7874756,Southwest
7855,51,56,0,46302.80926,0,66.30891044,-12476970,3988170,0.05066138,20.50019872,0.93124069,27.0525304,22.87711988,0,0,0.75124264,204.8371582,449.7137756,Southwest
7856,51,57,1,31135.99253,0,65.40484415,-12476970,3987630,0,13.22121313,2.90770328,51.90237237,3.38375447,0,0,0.29352674,226.1300201,448.9464417,Southwest
7857,51,58,0,28048.63077,0,66.48322946,-12476970,3987090,0,0,0,68.46742435,2.95091057,0,0,0.35256243,208.304184,445.3747864,Southwest
7858,51,59,31,84039.55401,6,65.78253536,-12476970,3986550,0.36932353,0,0,67.71741533,3.33488741,0,0,0.25867915,236.9197846,443.8043518,Southwest
7859,51,60,10,13850.22388,0,64.93828442,-12476970,3986010,0.25330597,13.9105871,0.6981394,42.53426625,14.02861906,0,0,0.42999896,234.7588348,443.7510071,Southwest
7860,51,61,3,70789.6446,14,66.41145104,-12476970,3985470,0.7126077,20.50783885,14.45834557,27.98058712,7.76882941,0,0,0.45922077,232.7299957,439.1506043,Southwest
7861,51,62,2,55707.81547,8,63.8411,-12476970,3984930,1.64648589,0.6339393,0.15198324,60.03705794,8.96203338,0,0,0.38950986,225.46875,437.752533,Southwest
7862,51,63,1,68067.24955,14,63.95389466,-12476970,3984390,0.75646447,1.95578823,0.650611,49.44519948,16.82825945,1.79846765,0,0.37536359,215.7185059,434.2481079,Southwest
7863,51,64,2,75482.5139,15,65.78595338,-12476970,3983850,1.94729496,0.1266525,0,59.58434694,9.77978685,0,0,0.41636813,215.8043976,432.5041199,Southwest
7864,51,65,1,70945.61311,15,65.51251178,-12476970,3983310,3.18146313,1.6464813,0,51.50533277,15.05743298,0,0.05066096,0.40688974,211.2776794,430.364502,Southwest
7865,51,66,9,62272.27931,10,63.6189287,-12476970,3982770,1.61201123,0.02533046,0,62.20390911,7.60341078,0,0,0.351704,205.2112579,426.9978638,Southwest
7866,51,67,1,58553.31098,12,62.87038232,-12476970,3982230,1.4814392,0,0,63.05951358,6.90699839,0,0,0.3386687,191.2926483,424.8451538,South
7867,51,68,2,60458.38724,12,62.87038232,-12476970,3981690,1.03961502,0.30396495,4.2702043,53.41177641,12.42568023,0,0,0.36495811,219.111023,423.1783447,Southwest
7868,51,69,11,84284.03927,4,61.59204284,-12476970,3981150,10.8291449,2.44724773,0,44.7687778,13.40936003,0,0,0.36604849,198.938446,419.0272827,South
7869,51,70,9,87401.44339,11,64.40849132,-12476970,3980610,1.76460838,2.23423202,0,54.02426781,13.43471139,0,0,0.28077415,208.4821167,417.6064453,Southwest
7870,51,71,0,98148.54819,21,63.8581901,-12476970,3980070,4.86232068,0.01133471,0,59.64299049,6.94446305,0,0,0.31048357,225.3881836,416.1890259,Southwest
7871,51,72,0,71527.33225,2,63.62576474,-12476970,3979530,4.90984833,0.1266516,2.70976306,58.35001065,4.96283887,0,0.40528514,0.30938041,196.6995544,413.5585632,South
7872,51,73,3,57681.72055,15,58.89180704,-12476970,3978990,10.42719193,0.88791381,11.78203336,38.90858849,9.46195901,0,0,0.30498543,191.6579895,411.6906738,South
7873,51,74,0,65871.85386,15,59.1413225,-12476970,3978450,11.37988628,0.69126508,3.93280662,49.60376931,5.8632473,0,0,0.13499339,190.4040375,409.3410339,South
7874,51,75,2,47836.06972,4,58.19794898,-12476970,3977910,10.01096471,2.40074723,15.80526211,31.37174458,10.54157276,1.34397184,0,0.19132882,183.012085,408.596405,South
7875,51,76,2,41155.06731,2,54.97817414,-12476970,3977370,13.97788542,0.60755863,21.15785396,30.13288261,5.40019711,0.20117343,0,0.30748332,154.1765747,407.1436768,Southeast
7876,51,77,0,48345.96386,0,57.54510716,-12476970,3976830,12.83629117,1.40485119,22.91726817,30.35910893,3.96331974,0,0,0.19969389,351.319458,404.670166,North
7877,51,78,0,67311.55518,20,61.4655761,-12476970,3976290,5.47764178,1.0775092,9.82807236,49.59869531,5.50220786,0,0,1.61746395,344.0926514,407.6835632,North
7878,51,79,0,0,0,62.6277029,-12476970,3975750,1.56556894,22.67090774,0,41.09084289,6.16009492,0,0,4.15561104,359.6792603,422.5643311,North
7879,51,80,0,0,0,61.5852068,-12476970,3975210,0,71.43623133,0.02533016,0,0.02913972,0,0,9.88752651,335.6033936,491.5055847,Northwest
7880,51,81,0,0,0,63.30105284,-12476970,3974670,0,71.06858395,0.02012276,0,0.40528211,0,0,5.23714447,52.91767502,560.1575928,Northeast
7881,51,82,1,0,0,65.22198008,-12476970,3974130,0,70.52290848,0.23453148,0,0.73983529,0,0,13.91997147,134.246109,527.923523,Southeast
7882,51,83,0,0,0,65.22198008,-12476970,3973590,0,46.84917462,0,0,24.65138743,0,0,3.66605663,194.5189209,417.0289002,South
7883,51,84,0,0,0,64.09403348,-12476970,3973050,3.25959512,8.61880309,0,29.300454,30.32499615,0,0,3.03259611,240.0118408,405.335968,Southwest
7884,51,85,1,11851.47663,1,64.3879832,-12476970,3972510,1.3545774,16.37227705,4.06100096,34.29722862,15.42205075,0,0,1.36980164,259.2561035,393.2894898,West
7885,51,86,3,54575.61017,14,62.28931892,-12476970,3971970,4.6274487,14.47670709,2.77810709,33.26371292,16.36444484,0,0,1.15975702,217.9145508,396.6432495,Southwest
7886,51,87,9,50929.59717,21,64.7810555,-12476970,3971430,0.82645429,1.26457894,0,59.95675326,9.46592018,0,0,1.64563525,184.5568695,382.7654419,South
7887,51,88,3,48281.80333,10,62.5764326,-12476970,3970890,8.42812381,0.1266499,0,37.4862973,24.76668162,0,0.70923941,0.41842249,203.455368,375.5203857,Southwest
7888,51,89,0,83771.88836,10,59.06954408,-12476970,3970350,28.31427218,0.53192885,0.02532994,35.9190451,6.72970169,0,0,0.41915148,213.1253815,373.357605,Southwest
7889,51,90,0,80518.01242,13,58.93282328,-12476970,3969810,22.03356004,0,0,44.76795518,4.72204757,0,0,0.40066552,217.0911408,371.4832764,Southwest
7890,51,91,0,58789.45603,11,59.10372428,-12476970,3969270,36.37932986,0.26064632,0.25329902,28.81491058,5.7933322,0,0.0253299,0.35845202,222.6196442,368.0968323,Southwest
7891,51,92,0,78720.02809,14,60.52220258,-12476970,3968730,20.56203834,0,0,45.57655678,5.39153729,0,0,0.3490614,219.6659546,366.6483765,Southwest
7892,51,93,3,84207.3378,7,59.26778924,-12476970,3968190,35.50631797,0.0759896,0.15197919,32.27439408,3.52473669,0,0,0.35370412,213.8558044,365.0065918,Southwest
7893,51,94,0,70118.30834,4,60.48118634,-12476970,3967650,34.64099177,0.17730881,0.27862816,32.36694972,4.07282293,0,0,0.3046461,208.6631775,361.6484985,Southwest
7894,51,95,3,67128.51482,7,61.619387,-12476970,3967110,13.62451329,0.15197896,0.05065965,52.10357206,5.60926223,0,0,0.31688982,208.3361359,360.1959839,Southwest
7895,51,96,4,77221.79222,5,61.15453628,-12476970,3966570,21.96714666,0.15197879,2.68495843,38.07864202,8.63787475,0,0.02266892,0.33034289,204.7058258,356.6723938,Southwest
7896,51,97,1,68049.04263,5,61.57153472,-12476970,3966030,14.51873883,0.22796799,0,51.86622608,4.93362084,0,0,0.31207389,204.0367889,354.9893189,Southwest
7897,51,98,2,54492.98791,4,61.57153472,-12476970,3965490,23.6181592,0.82988762,0.38516066,36.27102536,10.44560436,0,0,0.29683599,201.0682373,353.3945618,South
7898,51,99,0,58391.36939,7,61.49292026,-12476970,3964950,26.08967492,0.30395673,0.91999761,34.29499542,9.94449604,0,0,0.25179952,196.3112488,350.3550415,South
7899,51,100,3,73890.44432,9,59.6540255,-12476970,3964410,22.5953524,0.5572537,0,42.44093126,5.96286635,0,0,0.23939951,194.8004761,349.0244141,South
7900,51,101,2,69961.7748,7,62.44312982,-12476970,3963870,15.64488061,0.60791225,2.10662301,44.86990384,8.33036715,0,0,0.2190306,194.2596588,347.6931458,South
