LST,id,longitude,latitude,lon_id,lat_id,tree,shrubland,grassland,builtup,barren,water,slope,aspect,elevation,poi_num,bldg_area,nodes_num,aspect_class,Northeast,Northwest,Southwest,West,South,Southeast,East,North
41.64789614,7739,-73.8574,40.6711,83,67,1.29361649,0.0,12.97673502,46.10503641,4.39675071,0.0,0.43880373,219.02105713,2.67258263,22.0,37228.08225649774,13.0,Southwest,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
38.77334132,7740,-73.8526,40.6711,84,67,14.67493021,0.0,26.24170434,16.57826086,4.2178412,0.0,0.54902315,212.34802246,4.58171225,3.0,25542.166806501646,13.0,Southwest,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
41.794871,7741,-73.8477,40.6711,85,67,5.84465667,0.0,14.49833521,40.92327421,3.29248468,0.0,0.5138005,197.38427734,6.95862865,23.0,65691.34060655677,23.0,South,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
42.7519166,7742,-73.8429,40.6711,86,67,3.55941114,0.0,5.96687784,53.86365001,1.53442257,0.0,0.50671482,212.82080078,8.01097202,28.0,68663.058678841,23.0,Southwest,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
41.17279136,7743,-73.8380,40.6711,87,67,6.31513081,0.0,4.67196394,48.29946134,5.84076909,0.0,0.59053946,208.55630493,8.96983147,5.0,85801.0653556201,9.0,Southwest,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40.21574576,7744,-73.8332,40.6711,88,67,3.15476121,0.0,11.58953972,36.53347494,10.84655009,0.00408833,1.01798952,93.56530762,6.45600319,14.0,58154.80070455309,0.0,East,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.49796156,7745,-73.8283,40.6711,89,67,3.36802483,0.0,16.10958394,19.59489242,12.12602396,0.93461881,0.84579974,284.80038452,5.9190855,1.0,62774.551285771406,6.0,West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40.38664676,7746,-73.8235,40.6711,90,67,8.15103486,0.0,0.35518647,55.13410929,1.56310597,0.0,0.44021487,247.44459534,8.74343014,26.0,83030.7331159668,13.0,Southwest,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
41.69916644,7747,-73.8186,40.6711,91,67,9.08265458,0.0,0.15222281,53.45153439,2.51702481,0.0,0.36285213,135.09732056,9.66707325,3.0,73589.32659041914,12.0,Southeast,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
41.96235398,7748,-73.8138,40.6711,92,67,4.78605575,0.0,0.10148186,56.6295514,3.68634757,0.0,0.16627742,168.86090088,9.3930912,3.0,73192.85019645935,10.0,South,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
40.97796422,7749,-73.8089,40.6711,93,67,11.91693913,0.0,0.02537047,49.94306098,3.31806601,0.0,0.35393375,160.7850647,6.95084286,3.0,68707.33205856368,11.0,South,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
39.93888614,7750,-73.8041,40.6711,94,67,13.41143629,0.0,0.23914529,46.13252513,5.42032988,0.0,0.28213063,148.39382935,9.18884468,4.0,54143.7844408596,18.0,Southeast,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
41.45648702,7751,-73.7992,40.6711,95,67,5.12372493,0.0,1.47553604,52.94134861,5.66282701,0.0,0.27095452,111.04433441,7.08729315,4.0,65335.90999682394,14.0,East,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.67182228,7752,-73.7944,40.6711,96,67,10.23750387,0.0,1.03232893,49.32402825,4.60957554,0.0,0.24373332,132.04307556,5.02386427,6.0,70877.7963655845,13.0,Southeast,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
42.18110726,7753,-73.7895,40.6711,97,67,3.25088747,0.0,13.42671067,42.03374114,6.46672682,0.0,0.22379158,144.31718445,5.16478491,14.0,57942.582994306555,7.0,Southeast,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
44.38231214,7754,-73.7847,40.6711,98,67,4.43234706,0.0,9.85642157,48.32555639,2.4368888,0.0,0.08045815,93.40246582,4.26550484,14.0,95256.46187691072,13.0,East,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.4359789,7755,-73.7798,40.6711,99,67,10.82174892,0.0,1.65442916,47.11341637,5.61384214,0.0,0.12095001,206.03637695,4.88486385,9.0,68419.65287214624,15.0,Southwest,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42.00337022,7756,-73.7750,40.6711,100,67,8.04159331,0.0,2.0622169,49.61820197,5.48142441,0.0,0.1720005,163.37774658,4.45278406,23.0,65195.008087675335,19.0,South,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
40.6840145,7757,-73.7701,40.6711,101,67,9.64422821,0.0,5.95031537,45.95398466,3.55342645,0.0,0.09645584,245.2714386,4.49811935,7.0,73915.88460429288,16.0,Southwest,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
