LST,longitude,latitude,lon_id,lat_id,tree,shrubland,grassland,builtup,id,barren,water,slope,aspect,elevation,poi_num,bldg_area,nodes_num,aspect_class,Southwest,East,Northwest,North,West,South,Northeast,Southeast
19.59654011,-70.9808,42.3958,44,1,0.93187736,0.0,0.0,6.24126838,44,1.10964953,55.23036846,0.51357466,94.86860657,-0.05744368,0.0,2907.2968183359276,0.0,East,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.08383711,-70.9760,42.3958,45,1,0.0,0.0,0.0,0.0,45,0.0,63.51316374,0.00676351,270.0,0.0,0.0,0.0,0.0,West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18.43954034,-70.9711,42.3958,46,1,0.0,0.0,0.0,0.0,46,0.0,63.51316374,0.0,0.0,0.0,0.0,0.0,0.0,North,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18.1592627,-70.9663,42.3958,47,1,0.0,0.0,0.0,0.0,47,0.0,63.51316374,0.0,0.0,0.0,0.0,0.0,0.0,North,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18.39681509,-70.9614,42.3958,48,1,0.0,0.0,0.0,0.0,48,0.0,63.51316374,0.0,0.0,0.0,0.0,0.0,0.0,North,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17.60041643,-70.9566,42.3958,49,1,0.0,0.0,0.0,0.0,49,0.0,63.51316374,0.0,0.0,0.0,0.0,0.0,0.0,North,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16.58355548,-70.9517,42.3958,50,1,0.0,0.0,0.0,0.0,50,0.0,63.51316374,0.0,0.0,0.0,0.0,0.0,0.0,North,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34.16243234,-71.1894,42.3922,1,2,46.18774266,0.0,0.9973119,16.3316816,51,0.0,0.0,2.60756063,186.75813293,65.26403809,0.0,0.0,11.0,South,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
36.78576269,-71.1846,42.3922,2,2,45.24308898,0.0,0.22842562,14.16696994,52,3.87825163,0.0,6.90423298,138.75268555,49.76384735,1.0,3637.1449142755064,19.0,Southeast,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
38.68105478,-71.1797,42.3922,3,2,44.35693156,0.0,1.47375729,15.58835564,53,2.09769168,0.0,1.09386158,97.15709686,22.75239372,2.0,42398.35986303852,7.0,East,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.14613465,-71.1749,42.3922,4,2,51.09436274,0.0,1.22822978,10.6611505,54,0.53299315,0.0,1.88439834,40.20562744,16.27210617,4.0,44373.42857406832,5.0,Northeast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
37.68470195,-71.1700,42.3922,5,2,48.66849994,0.0,1.35077784,12.84837265,55,0.59832449,0.0,1.52178025,31.80619812,8.1315794,0.0,50975.30698601297,9.0,Northeast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
37.5565262,-71.1652,42.3922,6,2,39.80404572,0.0,4.58400311,9.85047265,56,0.51939553,8.75881915,1.20971251,21.87986183,5.60284758,4.0,37719.275145102976,2.0,North,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
44.59935641,-71.1603,42.3922,7,2,17.40938134,0.0,5.21497885,39.58121939,57,0.91861976,0.32180024,1.24334204,359.26928711,7.02408123,21.0,59044.587254909435,0.0,North,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
44.31736976,-71.1555,42.3922,8,2,28.52960278,0.0,2.68425311,30.59102378,58,1.7118565,0.0,0.24604563,47.6702919,5.69697237,34.0,79378.75217299482,3.0,Northeast,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
46.73903693,-71.1506,42.3922,9,2,0.12154068,0.0,0.22842557,61.45941435,59,1.70735557,0.0,0.40203235,80.19827271,2.89172196,31.0,118761.72574453296,14.0,East,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.6664661,-71.1458,42.3922,10,2,1.2858908,0.0,0.35532872,56.50063951,60,5.31892768,0.0,0.10490995,9.10711861,2.25183201,11.0,96364.63792713033,11.0,North,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42.38447945,-71.1409,42.3922,11,2,3.55682099,0.0,1.76589569,56.33778878,61,1.85186464,0.0,0.27906224,285.98861694,3.40098143,27.0,54942.61512060004,23.0,West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41.87519447,-71.1361,42.3922,12,2,14.36945482,0.0,13.29070976,34.29127265,62,1.54428438,0.0,0.38819653,319.18786621,4.46959686,4.0,42386.555673632836,26.0,Northwest,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41.39154464,-71.1312,42.3922,13,2,24.10359253,0.0,4.86335471,33.43964952,63,1.11013941,0.0,0.27188954,222.0447998,6.67784023,14.0,77139.30343599811,27.0,Southwest,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
43.7944127,-71.1264,42.3922,14,2,25.37907313,0.0,3.45271734,33.61618255,64,1.01800192,0.0,0.11783958,232.24645996,7.82787752,24.0,86974.75215442106,25.0,Southwest,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42.68013818,-71.1215,42.3922,15,2,24.74693388,0.0,0.12690309,37.79316171,65,0.79897625,0.0,0.12455982,287.7663269,7.89392185,50.0,98811.48815489857,16.0,West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
42.36738935,-71.1167,42.3922,16,2,16.85553003,0.0,0.02538062,46.07054069,66,0.56528482,0.0,0.90791202,281.56692505,13.75868416,9.0,108682.20477345445,22.0,West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
