id,longitud,latitude,lon_id,lat_id,LST,tree,shrubland,grassland,builtup,barren,water,slope,aspect,elevation,poi_num,bldg_area,nodes_num,aspect_class,Southeast,South,Southwest,East,Northeast,West,Northwest,North
5022,-74.0951,40.7557,4,44,26.39327288,1.05689866,0,0,7.79249643,0,54.22649722,0.22267194,277.4476318,-0.11165721,0,155.6761993,0,West,0,0,0,0,0,0,0,1
5023,-74.0903,40.7557,5,44,32.48760254,23.42555604,0,0.0504155,16.48647343,0.96377019,0.75851455,0.47477925,240.0775299,1.54711151,0,18.00110662,0,Southwest,0,0,0,0,0,0,1,0
5024,-74.0854,40.7557,6,44,32.52520076,37.35572258,0,4.88636149,8.31721982,2.22769072,0,0.78550339,160.7695618,9.32424164,0,0,0,South,0,0,0,0,1,0,0,0
5025,-74.0806,40.7557,7,44,32.12529242,13.71155977,0,7.01913318,3.11572502,5.82922547,12.35045238,1.3262074,140.5487213,1.21920276,0,0,0,Southeast,0,0,0,0,0,1,0,0
5026,-74.0757,40.7557,8,44,33.15753446,12.64361215,0,0.92835398,4.93840721,3.19238188,4.45034027,0.07224025,126.0202942,0.97295094,0,1199.774028,0,Southeast,0,0,0,0,0,1,0,0
5027,-74.0709,40.7557,9,44,37.65223076,10.5538282,0,0.84731256,23.75831439,17.82231982,0,0.09006915,318.3421936,3.01630378,0,0,0,Northwest,0,0,0,1,0,0,0,0
5028,-74.066,40.7557,10,44,44.08836242,0.94128762,0,1.98368237,42.7093251,18.20085598,0,0.15700619,91.55356598,1.99400592,0,177544.65,0,East,1,0,0,0,0,0,0,0
5029,-74.0612,40.7557,11,44,41.111267,0.00310363,0,0.05074195,58.21430617,5.31835271,0,0.09181782,344.2225952,1.74795341,0,178927.637,0,North,0,1,0,0,0,0,0,0
5030,-74.0563,40.7557,12,44,42.05464052,3.83676524,0,0.40243334,56.33553676,4.54721112,0,5.11295986,306.7970886,13.9978199,0,72185.37726,5,Northwest,0,0,0,1,0,0,0,0
5031,-74.0515,40.7557,13,44,41.40863474,6.32226651,0,0,58.79967994,0,0,4.61928034,302.1914368,37.6299324,0,105115.238,10,Northwest,0,0,0,1,0,0,0,0
5032,-74.0466,40.7557,14,44,43.05612038,1.72621174,0,0,63.39573471,0,0,0.38758847,340.0280762,51.08543777,0,113093.298,22,North,0,1,0,0,0,0,0,0
5033,-74.0418,40.7557,15,44,42.30073796,1.9517646,0,0,62.93873955,0.2314423,0,0.71844125,177.018753,51.17114639,0,109572.0085,18,South,0,0,0,0,1,0,0,0
5034,-74.0369,40.7557,16,44,41.40863474,16.55457821,0,0.02467057,47.88445362,0.65824406,0,5.83451939,121.235939,48.95557404,0,84117.26299,10,Southeast,0,0,0,0,0,1,0,0
5035,-74.032,40.7557,17,44,43.6235117,2.84462343,0,0.02697585,61.59885206,0.65149511,0,0.6000036,83.87127686,1.5748322,0,91262.23449,13,East,1,0,0,0,0,0,0,0
5036,-74.0272,40.7557,18,44,34.89388862,4.86772261,0,1.11727953,32.58066858,6.54152147,20.01475429,0.47330594,43.800354,1.58538032,0,39412.99264,5,Northeast,0,0,1,0,0,0,0,0
5037,-74.0223,40.7557,19,44,24.48601772,0.10078345,0,0.22833861,2.70545329,0.88308075,61.20429038,0.32236493,82.26952362,-0.49218208,0,0,0,East,1,0,0,0,0,0,0,0
5038,-74.0175,40.7557,20,44,23.84684798,0,0,0,0,0,65.12194647,0.00117156,201.4741211,-1.19590783,0,0,0,South,0,0,0,0,1,0,0,0
5039,-74.0126,40.7557,21,44,23.73747134,0,0,0,0,0,65.12194646,0.00131001,206.4499512,-1.19377339,0,0,0,Southwest,0,0,0,0,0,0,1,0
5040,-74.0078,40.7557,22,44,33.74201588,0,0,0.17759673,14.72817556,2.00803506,48.20813912,0.48946074,295.1049194,-0.34476191,2,165488.521,5,Northwest,0,0,0,1,0,0,0,0
5041,-74.0029,40.7557,23,44,34.617029,3.8849982,0,0.10148382,56.26864412,4.63974132,0.22707902,0.7815091,263.1986694,4.5296402,84,263657.9395,14,West,0,0,0,0,0,0,0,1
5042,-73.9981,40.7557,24,44,38.1034094,1.17259312,0,0.07611286,62.35284551,1.52039498,0,0.80514401,271.1369324,9.43141365,265,135420.3719,29,West,0,0,0,0,0,0,0,1
5043,-73.9932,40.7557,25,44,38.31874466,1.16636385,0,0,63.5463995,0.40918311,0,0.17520657,300.6686096,11.48451614,945,242308.3326,7,Northwest,0,0,0,1,0,0,0,0
5044,-73.9884,40.7557,26,44,38.39735912,1.04932677,0,0,61.86318323,2.20943647,0,0.73288864,276.7423401,16.55631447,652,207607.1924,11,West,0,0,0,0,0,0,0,1
5045,-73.9835,40.7557,27,44,36.47301386,6.31431335,0,0,57.11170423,1.61981598,0.0761129,0.56070924,309.3362427,19.19684982,1192,220097.1154,7,Northwest,0,0,0,1,0,0,0,0
5046,-73.9787,40.7557,28,44,36.24400652,0.68811972,0,0,62.41315988,2.02066687,0,0.39844066,101.0132751,18.42310333,951,491525.3993,20,East,1,0,0,0,0,0,0,0
5047,-73.9738,40.7557,29,44,35.37924746,1.04014608,0,0,62.2338729,1.84792749,0,0.86031091,93.74778748,12.68669415,499,477358.4711,14,East,1,0,0,0,0,0,0,0
5048,-73.969,40.7557,30,44,38.035049,5.37920528,0,0,58.10988023,1.63286095,0,0.34644446,58.52251434,9.447855,387,169132.5829,10,Northeast,0,0,1,0,0,0,0,0
5049,-73.9641,40.7557,31,44,36.65416892,5.40259581,0,0,56.67019322,0.83565487,2.21350256,1.57571268,136.4347687,7.21141291,99,92731.37773,9,Southeast,0,0,0,0,0,1,0,0
5050,-73.9593,40.7557,32,44,25.94551226,1.70795111,0,2.92209463,12.62025199,0.28066756,47.59098117,0.94999319,145.1668243,0.64965951,12,39519.15672,1,Southeast,0,0,0,0,0,1,0,0
5051,-73.9544,40.7557,33,44,31.04178008,2.79957573,0,4.69761063,27.87353367,0.35449307,29.39673337,0.30890363,151.6009674,1.23594666,1,28973.94038,1,Southeast,0,0,0,0,0,1,0,0
5052,-73.9496,40.7557,34,44,30.43337252,20.69594066,0,3.22211242,20.17589613,1.26574622,19.76225104,0.4476586,303.9612122,3.51754737,10,44270.41685,9,Northwest,0,0,0,1,0,0,0,0
5053,-73.9447,40.7557,35,44,37.5565262,25.76794008,0,0.53930626,38.73548357,0.07921655,0,0.2617029,305.9444275,4.43851614,65,132235.5212,9,Northwest,0,0,0,1,0,0,0,0
5054,-73.9399,40.7557,36,44,44.02683806,1.58739733,0,0.01745405,63.46635316,0.05074192,0,0.6226536,299.9365845,6.99726677,60,146226.5366,13,Northwest,0,0,0,1,0,0,0,0
5055,-73.935,40.7557,37,44,41.92988279,2.71669921,0,0.02537097,61.7523582,0.62751808,0,0.18204844,257.2304688,12.87408638,53,137842.6716,13,West,0,0,0,0,0,0,0,1
5056,-73.9302,40.7557,38,44,39.53214176,0.88403523,0,0,64.15504223,0.08286901,0,0.50986814,146.562851,11.6109848,120,165770.5962,10,Southeast,0,0,0,0,0,1,0,0
5057,-73.9253,40.7557,39,44,40.61052707,0.69122336,0,0.0507419,64.35461025,0.02537096,0,0.43050605,207.0067291,10.47744465,114,168780.3043,11,Southwest,0,0,0,0,0,0,1,0
5058,-73.9205,40.7557,40,44,40.63445321,0.56436843,0,0.05074193,64.30386843,0.20296766,0,0.3328152,225.8488312,13.58032036,88,137190.7681,10,Southwest,0,0,0,0,0,0,1,0
5059,-73.9156,40.7557,41,44,38.52211685,1.12252961,0,0.05074193,63.8471911,0.10148382,0,0.27942804,191.5261688,14.20993423,59,116616.7928,13,South,0,0,0,0,1,0,0,0
5060,-73.9108,40.7557,42,44,38.19398693,27.50741741,0,0.32444034,37.01639039,0.27369832,0,0.2876803,127.8965073,13.38853168,28,82833.79414,8,Southeast,0,0,0,0,0,1,0,0
5061,-73.9059,40.7557,43,44,38.83999271,9.46617273,0,0.64275996,54.52635011,0.48666366,0,0.39719471,191.5015564,12.0890131,23,106292.5734,11,South,0,0,0,0,1,0,0,0
5062,-73.9011,40.7557,44,44,41.42743385,4.37315069,0,0.81187081,59.04355882,0.89336615,0,0.58938247,135.9994507,11.99461937,29,75818.68204,21,Southeast,0,0,0,0,0,1,0,0
5063,-73.8962,40.7557,45,44,41.25653285,2.21583763,0,6.12938007,55.86868971,0.90803905,0,0.15390986,14.32577038,8.55671883,47,82643.40562,11,North,0,1,0,0,0,0,0,0
5064,-73.8914,40.7557,46,44,40.88738669,1.04826352,0,3.04577404,59.88236106,1.14554784,0,0.98736274,305.9136047,10.17978668,34,92762.17076,9,Northwest,0,0,0,1,0,0,0,0
5065,-73.8865,40.7557,47,44,40.08927902,5.83348882,0,1.01547888,57.80248961,0.47048916,0,0.83737195,291.9038086,20.60217476,88,125254.5707,11,West,0,0,0,0,0,0,0,1
5066,-73.8817,40.7557,48,44,40.33708547,5.4636149,0,1.33375598,57.76641446,0.55816111,0,0.20569929,150.1475372,21.85672379,66,121514.8564,15,Southeast,0,0,0,0,0,1,0,0
5067,-73.8768,40.7557,49,44,41.19329948,6.88107232,0,1.68555758,55.64726394,0.90805262,0,0.08551069,30.13183975,21.40084839,30,125493.8219,16,Northeast,0,0,1,0,0,0,0,0
5068,-73.872,40.7557,50,44,41.70429347,6.58740838,0,1.30455675,55.98150211,1.24847922,0,0.13584198,50.65067673,21.03876305,50,108285.2505,19,Northeast,0,0,1,0,0,0,0,0
5069,-73.8671,40.7557,51,44,41.12664809,0.63427412,0,1.58493125,62.36124719,0.54149391,0,0.44972128,133.7081146,19.13960266,33,108905.5372,16,Southeast,0,0,0,0,0,1,0,0
5070,-73.8623,40.7557,52,44,40.68230549,2.48635417,0,0.53279018,61.75701274,0.34578936,0,0.62461686,123.4806061,17.73544121,14,107927.4762,22,Southeast,0,0,0,0,0,1,0,0
5071,-73.8574,40.7557,53,44,41.55731861,4.17448924,0,0.811871,58.42487372,1.71071251,0,1.05260384,83.12294006,9.70378685,11,54482.73122,19,East,1,0,0,0,0,0,0,0
5072,-73.8526,40.7557,54,44,41.0087264,16.76172743,0,14.34877911,32.86137412,1.15006581,0,0.89276272,61.71604156,5.49563789,0,0,14,Northeast,0,0,1,0,0,0,0,0
5073,-73.8477,40.7557,55,44,44.1362147,3.65498353,0,3.42592614,56.11555807,1.92547872,0,0.080677,204.3857727,3.25637031,12,68520.51193,0,Southwest,0,0,0,0,0,0,1,0
5074,-73.8429,40.7557,56,44,39.79874732,4.7001495,0,0.8357879,44.74783099,11.01097611,2.39427575,0.17676838,92.43387604,1.87432349,1,33009.36246,1,East,1,0,0,0,0,0,0,0
5075,-73.838,40.7557,57,44,33.60187706,8.87162041,0,3.01242151,36.32624732,3.26891631,13.52803796,0.34877253,303.6352234,1.60581303,109,154853.3111,13,Northwest,0,0,0,1,0,0,0,0
5076,-73.8332,40.7557,58,44,41.09759492,4.91352989,0,0.15474693,59.73990713,0.3137625,0,0.90399545,259.6035156,9.1355238,179,140033.728,11,West,0,0,0,0,0,0,0,1
5077,-73.8283,40.7557,59,44,39.00063965,2.13042077,0,0.02537096,62.6870741,0.2790806,0,0.88181347,230.013977,15.92786121,110,162153.1545,7,Southwest,0,0,0,0,0,0,1,0
5078,-73.8235,40.7557,60,44,38.8724639,4.44856788,0,0,60.40485116,0.26852739,0,1.11295331,203.6430511,18.03746796,48,141644.889,15,Southwest,0,0,0,0,0,0,1,0
5079,-73.8186,40.7557,61,44,41.76410882,8.67515444,0,0.02537096,55.55260091,0.86882013,0,0.80139893,146.8873444,17.35704613,69,87350.41217,19,Southeast,0,0,0,0,0,1,0,0
5080,-73.8138,40.7557,62,44,41.42743385,7.64055048,0,0.48204829,55.11317264,1.88617504,0,1.15977693,154.7716827,15.76016331,18,78845.42881,14,Southeast,0,0,0,0,0,1,0,0
5081,-73.8089,40.7557,63,44,41.24627879,11.1889505,0,0.12685478,51.97784247,1.82829869,0,0.53160149,164.1007233,11.69544125,36,89462.89854,10,South,0,0,0,0,1,0,0,0
5082,-73.8041,40.7557,64,44,41.67694931,8.92981658,0,0.10148382,54.97432378,1.11632225,0,0.69993186,202.2785492,15.21380043,33,84785.02267,5,South,0,0,0,0,1,0,0,0
5083,-73.7992,40.7557,65,44,39.79191128,14.33300665,0,0.62711011,48.81786907,1.34396062,0,0.56871033,289.9315491,16.80322266,4,71752.23338,8,West,0,0,0,0,0,0,0,1
