bldg_area,street_len,nodes_num,id,poi_num,tree,shrubland,grassland,builtup,barren,water,slope,aspect,elevation,LST,lon_id,lat_id,LST_class,East,North,Northeast,Northwest,South,Southeast,Southwest,West
399.1978332,21772.52483,145,127,0,0,13.63764644,6.1010739,1.41158411,48.19810004,0,16.45047379,East,1382.25293,58.27314542,2,61,2,1,0,0,0,0,0,0,0
0,17305.84849,144,128,0,0,19.51531133,1.28446908,0,48.55202667,0,2.97284937,Southeast,1389.497437,53.35119662,2,62,0,0,0,0,0,0,1,0,0
0,16109.07879,16,129,0,0,38.99364556,9.268372,0,21.09319175,0,1.79896998,Southeast,1273.825684,60.72728378,2,63,3,0,0,0,0,0,1,0,0
0,8230.321885,7,130,0,0,29.52555927,8.88395958,0,30.94909255,0,2.74706578,Southeast,1280.125,62.30640902,2,64,4,0,0,0,0,0,1,0,0
0,1563.770029,2,131,0,0,17.26169761,0.59243882,2.64108317,48.8667943,0,1.59462023,Southeast,1373.138184,61.81079612,2,65,4,0,0,0,0,0,1,0,0
0,0,0,132,0,0,14.71173245,2.03242172,0,52.62126113,0,2.22098088,North,1618.573242,58.46455454,2,66,2,0,1,0,0,0,0,0,0
0,0,0,133,0,0,0,0,0,69.1439668,0,3.47658896,Northeast,1669.952881,57.88349114,3,1,1,0,0,1,0,0,0,0,0
0,0,0,134,0,0,0,0.02534562,0,69.12203302,0,3.48526287,Northeast,1508.594482,57.95185154,3,2,1,0,0,1,0,0,0,0,0
0,0,0,135,0,0,0,0,0,69.15079027,0,2.95889401,Northeast,1545.798584,57.96552362,3,3,1,0,0,1,0,0,0,0,0
0,0,0,136,0,0,0,0,0,69.15420205,0,2.59421372,Northeast,1470.150146,57.26824754,3,4,1,0,0,1,0,0,0,0,0
0,0,0,137,0,0,0,0,0,69.15761337,0,2.80668044,Northeast,1343.761353,57.54168914,3,5,1,0,0,1,0,0,0,0,0
0,0,0,138,0,0,0,0,0,69.16102455,0,2.72166085,Northeast,1269.513672,57.3639521,3,6,1,0,0,1,0,0,0,0,0
0,0,0,139,0,0,0,0,0,69.16443573,0,2.56600976,Northeast,1258.685181,58.01679392,3,7,1,0,0,1,0,0,0,0,0
